States,Latitude,Longitude,Year,Sex_Edu_Mand,HIV_STD_Edu_Mand,HR_Edu_Mand,Sex_Edu_AA_S,Sex_Edu_AA_HIV,Sex_Edu_CA_S,Sex_Edu_CA_HIV,Sex_Edu_MA_S,Sex_Edu_MA_HIV,Sex_Edu_PR,Abstinance_S,Abstinence_C,Contraceptive_C,Promote_Marriage,Sexuality,Neg_Teen_Sex,LS_Coersion,LS_RS,LS_Consent,LS_DM,LS_VP,LS_FC,HIV_Condoms_Contraception,HIV_Abstinence_S,HIV_Abstinence_C,Parent_Notif_S,Parent_Notif_HIV
Colorado,39.059811,-105.311104,2018,0,0,NA,1,1,1,1,1,1,0,0,1,1,0,Inclusive,0,1,NA,NA,1,NA,1,1,0,1,Opt-out,Opt-out
Connecticut,41.597782,-72.755371,2018,0,1,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,39.318523,-75.507141,2018,1,1,NA,0,0,0,0,0,0,0,1,0,1,0,Inclusive,0,1,NA,NA,1,NA,0,1,1,0,NA,NA
District of Columbia,38.897438,-77.026817,2018,1,1,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,0,NA,0,0,0,0,Opt-out,Opt-out
Florida,27.766279,-81.686783,2018,0,0,NA,1,1,0,0,0,0,0,1,0,0,1,0,1,0,NA,NA,0,NA,0,0,1,0,Opt-out,Opt-out
Georgia,33.040619,-83.643074,2018,1,1,NA,0,0,0,0,0,0,0,1,0,0,1,0,1,1,NA,NA,0,NA,0,0,0,1,Opt-out,Opt-out
Hawaii,21.094318,-157.498337,2018,1,1,NA,1,1,0,0,1,1,0,1,0,1,0,0,0,0,NA,NA,1,NA,0,1,1,0,Opt-out,Opt-out
Idaho,44.240459,-114.478828,2018,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,40.349457,-88.986137,2018,0,1,NA,1,1,0,0,1,1,0,1,0,1,1,0,1,1,NA,NA,0,NA,0,1,1,0,Opt-out,Opt-out
Indiana,39.849426,-86.258278,2018,0,1,NA,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,NA,0,NA,0,0,1,0,Opt-in,NA
Iowa,42.011539,-93.210526,2018,1,1,NA,1,1,1,1,1,1,0,0,0,0,0,Inclusive,0,0,NA,NA,0,NA,0,0,0,0,Opt-out,Opt-out
Kansas,38.5266,-96.726486,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,37.66814,-84.670067,2018,1,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA,1,NA,0,0,0,1,NA,NA
Louisiana,31.169546,-91.867805,2018,0,0,NA,1,1,0,0,0,0,1,1,0,0,1,0,0,0,NA,NA,0,NA,0,0,1,0,Opt-out,Opt-out
Maine,44.693947,-69.381927,2018,1,1,NA,1,1,0,0,1,1,0,1,0,1,0,0,0,0,NA,NA,1,NA,1,1,1,0,Opt-out,Opt-out
Maryland,39.063946,-76.802101,2018,1,1,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,1,NA,NA,1,NA,0,1,0,1,Opt-out,Opt-out
Massachusetts,42.230171,-71.530106,2018,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,43.326618,-84.536095,2018,0,1,NA,1,1,0,0,1,1,0,1,0,0,1,0,1,1,NA,NA,1,NA,0,0,1,0,Opt-out,NA
Minnesota,45.694454,-93.900192,2018,1,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,1,NA,0,0,0,1,Opt-out,Opt-out
Mississippi,32.741646,-89.678696,2018,1,0,NA,1,1,0,0,0,0,0,1,0,0,1,0,1,1,NA,NA,0,NA,0,0,1,0,Opt-in,Opt-in
Missouri,38.456085,-92.288368,2018,0,1,NA,1,1,0,0,0,0,0,1,0,0,1,0,1,1,NA,NA,1,NA,0,0,1,0,Opt-out,Opt-out
Montana,46.921925,-110.454353,2018,1,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,0,NA,0,0,0,1,NA,NA
Nebraska,41.12537,-98.268082,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,38.313515,-117.055374,2018,1,1,NA,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire,43.452492,-71.563896,2018,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,1,NA,0,0,0,1,Opt-out,Opt-out
New Jersey,40.298904,-74.521011,2018,1,1,NA,1,1,1,1,1,1,0,1,0,1,0,Inclusive,0,0,NA,NA,1,NA,0,1,1,0,Opt-out,Opt-out
New Mexico,34.840515,-106.248482,2018,1,1,NA,0,0,0,0,0,0,0,0,1,1,0,Inclusive,0,1,NA,NA,1,NA,1,1,1,0,Opt-out,Opt-out
New York,42.165726,-74.948051,2018,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,1,1,0,NA,Opt-out
North Carolina,35.630066,-79.806419,2018,1,1,NA,1,1,0,0,1,1,0,1,0,1,1,0,0,1,NA,NA,1,NA,1,1,1,0,Opt-in,Opt-in
North Dakota,47.528912,-99.784012,2018,1,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,NA,NA
Ohio,40.388783,-82.764915,2018,1,1,NA,0,0,0,0,0,0,0,1,0,0,1,0,1,0,NA,NA,0,NA,0,0,1,0,NA,Opt-out
Oklahoma,35.565342,-96.928917,2018,0,1,NA,0,0,0,0,0,0,0,1,0,0,0,Negative,0,0,NA,NA,0,NA,0,1,0,1,Opt-out,Opt-out
Oregon,44.572021,-122.070938,2018,1,1,NA,1,1,1,1,1,1,0,1,0,1,0,Inclusive,0,1,NA,NA,1,NA,1,1,1,0,Opt-out,Opt-out
Pennsylvania,40.590752,-77.209755,2018,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,1,0,NA,Opt-out
Rhode Island,41.680893,-71.51178,2018,1,1,NA,1,1,1,1,1,1,0,1,0,1,0,Inclusive,0,1,NA,NA,1,NA,0,1,1,0,Opt-out,Opt-out
South Carolina,33.856892,-80.945007,2018,1,1,NA,1,1,0,0,0,0,0,1,0,1,1,Negative,0,0,NA,NA,0,NA,0,0,1,0,Opt-out,Opt-out
South Dakota,44.299782,-99.438828,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee,35.747845,-86.692345,2018,1,1,NA,0,1,0,0,0,0,0,1,0,0,1,0,1,1,NA,NA,1,NA,1,0,1,0,Opt-out,Opt-out
Texas,31.054487,-97.563461,2018,0,0,NA,1,1,0,0,0,0,0,1,0,0,1,Negative,1,1,NA,NA,1,NA,0,1,1,0,Opt-out,Opt-out
Utah,40.150032,-111.862434,2018,1,1,NA,0,0,1,1,1,1,0,1,0,0,1,0,0,1,NA,NA,1,NA,1,0,1,0,Opt-in,Opt-in
Vermont,44.045876,-72.710686,2018,1,1,NA,1,1,0,0,0,0,0,0,1,1,0,0,0,1,NA,NA,1,NA,1,1,0,1,NA,Opt-out
Virginia,37.769337,-78.169968,2018,0,0,NA,1,1,0,0,0,0,0,0,1,1,1,0,0,1,NA,NA,0,NA,1,1,0,1,Opt-out,Opt-out
Washington,47.400902,-121.490494,2018,0,1,NA,1,1,1,1,1,1,0,1,0,1,0,Inclusive,0,1,NA,NA,1,NA,1,1,1,0,NA,Opt-out
West Virginia,38.491226,-80.954453,2018,1,1,NA,0,0,0,0,0,0,0,0,1,1,0,0,1,1,NA,NA,1,NA,0,1,0,1,NA,Opt-out
Wisconsin,44.268543,-89.616508,2018,0,1,NA,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,NA,0,NA,0,0,1,0,Opt-out,Opt-out
Wyoming,42.755966,-107.30249,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,NA,NA,0,NA,0,0,0,0,NA,NA
Alabama,32.806671,-86.79113,2019,0,1,0,1,1,0,0,0,0,0,1,0,1,1,Negative,0,NA,1,0,1,1,NA,1,1,0,Opt-out,Opt-out
Alaska,61.370716,-152.404419,2019,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,"Notice, Opt-out","Notice, Opt-out"
Arizona,33.729759,-111.431221,2019,0,0,1,1,1,0,0,0,1,0,1,0,0,0,Negative,1,NA,1,0,1,1,NA,0,1,0,Consent,"Notice, Opt-out"
Arkansas,34.969704,-92.373123,2019,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,1,0,1,1,NA,0,1,0,0,0
California,36.116203,-119.681564,2019,1,1,1,1,1,1,1,1,1,1,0,1,1,0,Inclusive,0,NA,1,1,1,1,NA,1,0,1,"Notice, Opt-out","Notice, Opt-out"
Colorado,39.059811,-105.311104,2019,0,0,1,1,1,1,1,0,0,1,1,0,1,0,Inclusive,1,NA,1,1,1,1,NA,1,0,1,"Notice, Opt-out","Notice, Opt-out"
Connecticut,41.597782,-72.755371,2019,0,1,1,0,0,0,0,0,0,0,0,1,1,0,Inclusive,1,NA,0,0,1,1,NA,0,0,0,Opt-out,Opt-out
Delaware,39.318523,-75.507141,2019,1,1,1,0,0,0,0,0,0,0,1,0,1,0,Inclusive,0,NA,1,1,1,1,NA,1,1,0,0,0
District of Columbia,38.897438,-77.026817,2019,1,1,1,1,1,0,0,0,0,0,0,1,1,0,Inclusive,1,NA,1,1,1,1,NA,0,0,1,"Notice, Opt-out","Notice, Opt-out"
Florida,27.766279,-81.686783,2019,1,1,1,1,1,0,0,0,0,0,1,0,0,1,Negative,1,NA,0,0,1,1,NA,0,1,0,Opt-out,Opt-out
Georgia,33.040619,-83.643074,2019,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,1,0,0,1,NA,0,0,1,"Notice, Opt-out","Notice, Opt-out"
Hawaii,21.094318,-157.498337,2019,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,NA,0,0,1,0,NA,1,1,0,Opt-out,Opt-out
Idaho,44.240459,-114.478828,2019,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,1,0,NA,0,0,0,Opt-out,Opt-out
Illinois,40.349457,-88.986137,2019,0,1,1,1,1,0,0,1,1,0,1,0,1,1,Negative,1,NA,1,1,0,1,NA,1,1,0,Opt-out,Opt-out
Indiana,39.849426,-86.258278,2019,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,NA,0,0,0,1,NA,0,1,0,"Notice, Opt-out","Notice, Opt-out"
Iowa,42.011539,-93.210526,2019,1,1,1,1,1,1,1,1,1,0,0,0,0,0,Inclusive,0,NA,0,0,0,1,NA,0,0,0,"Notice, Opt-out","Notice, Opt-out"
Kansas,38.5266,-96.726486,2019,1,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Kentucky,37.66814,-84.670067,2019,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,1,0,NA,0,0,0,0,0
Louisiana,31.169546,-91.867805,2019,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,NA,0,0,1,1,NA,0,1,0,Opt-out,Opt-out
Maine,44.693947,-69.381927,2019,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,NA,0,0,1,1,NA,1,1,0,Opt-out,Opt-out
Maryland,39.063946,-76.802101,2019,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,1,1,1,1,NA,1,0,1,"Notice, Opt-out","Notice, Opt-out"
Massachusetts,42.230171,-71.530106,2019,0,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,"Notice, Opt-out","Notice, Opt-out"
Michigan,43.326618,-84.536095,2019,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,1,0,1,1,NA,0,1,0,"Notice, Opt-out","Notice, Opt-out"
Minnesota,45.694454,-93.900192,2019,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0
Mississippi,32.741646,-89.678696,2019,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,NA,0,0,0,1,NA,0,1,0,"Notice, Consent","Notice, Consent"
Missouri,38.456085,-92.288368,2019,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,NA,1,0,1,1,NA,0,1,0,"Notice, Opt-out","Notice, Opt-out"
Montana,46.921925,-110.454353,2019,1,1,NA,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Nebraska,41.12537,-98.268082,2019,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA
Nevada,38.313515,-117.055374,2019,1,1,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,"Notice, Consent","Notice, Consent"
New Hampshire,43.452492,-71.563896,2019,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,1,NA,0,0,1,"Notice, Opt-out","Notice, Opt-out"
New Jersey,40.298904,-74.521011,2019,1,1,1,1,1,1,1,1,1,0,1,0,1,0,Inclusive,1,NA,1,1,0,1,NA,1,1,0,"Notice, Opt-out","Notice, Opt-out"
New Mexico,34.840515,-106.248482,2019,1,1,1,1,1,0,0,0,0,0,0,1,1,0,Inclusive,1,NA,1,0,1,1,NA,1,1,0,Opt-out,Opt-out
New York,42.165726,-74.948051,2019,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,0,0,Opt-out
North Carolina,35.630066,-79.806419,2019,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,NA,1,0,1,1,NA,1,1,0,Opt-out,Opt-out
North Dakota,47.528912,-99.784012,2019,1,1,NA,0,0,0,0,0,0,0,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0
Ohio,40.388783,-82.764915,2019,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,NA,0,0,0,1,NA,0,1,0,Opt-out,Opt-out
Oklahoma,35.565342,-96.928917,2019,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Negative,0,NA,1,0,0,0,NA,1,1,1,"Notice, Opt-out","Notice, Opt-out"
Oregon,44.572021,-122.070938,2019,1,1,1,1,1,1,1,1,1,0,1,0,1,0,Inclusive,0,NA,1,1,1,1,NA,1,1,0,"Notice, Opt-out","Notice, Opt-out"
Pennsylvania,40.590752,-77.209755,2019,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,"Notice, Opt-out"
Rhode Island,41.680893,-71.51178,2019,1,1,1,1,1,1,1,1,1,0,1,0,1,0,Inclusive,1,NA,1,0,1,1,NA,1,1,0,0,Opt-out
South Carolina,33.856892,-80.945007,2019,1,1,1,1,1,0,0,0,0,0,1,0,1,1,Negative,0,NA,1,1,0,1,NA,0,1,0,"Notice, Opt-out","Notice, Opt-out"
South Dakota,44.299782,-99.438828,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
Tennessee,35.747845,-86.692345,2019,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,NA,1,0,1,1,NA,0,1,0,"Notice, Consent","Notice, Consent"
Texas,31.054487,-97.563461,2019,1,1,1,1,1,0,0,0,0,0,1,0,1,1,Negative,1,NA,1,0,1,1,NA,1,1,0,"Notice, Opt-out","Notice, Opt-out"
Utah,40.150032,-111.862434,2019,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,NA,1,0,0,1,NA,0,1,0,"Notice, Consent","Notice, Consent"
Vermont,44.045876,-72.710686,2019,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,NA,0,0,1,1,NA,1,0,1,0,Opt-out
Virginia,37.769337,-78.169968,2019,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,NA,1,0,1,1,NA,1,0,1,"Notice, Opt-out","Notice, Opt-out"
Washington,47.400902,-121.490494,2019,0,1,1,1,1,1,1,1,1,0,1,0,1,0,Inclusive,0,NA,1,0,1,1,NA,1,1,0,"Notice, Opt-out","Notice, Opt-out"
West Virginia,38.491226,-80.954453,2019,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,NA,1,0,0,1,NA,1,0,1,Opt-out,Opt-out
Wisconsin,44.268543,-89.616508,2019,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,0,0,0,1,NA,0,1,0,"Notice, Opt-out","Notice, Opt-out"
Wyoming,42.755966,-107.30249,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
